Content,Video title,Video publish time,Duration,Engaged views,Subscribers,Average percentage viewed (%),Impressions,Impressions click-through rate (%),Unique viewers,Average views per viewer,Returning viewers,Shares,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Views,Watch time (hours),Average view duration
Total,,,,26367,56,44.42,846508,1.39,0,0,0,219,6,0,884,75,92.18,136,37504,597.3255,0:01:21
1geIQxkXYGs,"March 27, 2021","Sep 30, 2023",394,534,2,21.6,1856,4.36,,,,11,2,0,5,7,41.67,0,534,12.6245,0:01:25
zvF3ifucdPA,before sack rupture (exper. resurrection / grok reels set-02 | 16s loop | visual rupture index 0.83),"Nov 10, 2025",17,526,1,90.63,96,13.54,,,,1,1,0,11,2,84.62,0,2109,3.0535,0:00:15
ZV8hgntY6CM,Aint Nothing Going on Today,"Feb 19, 2024",226,439,,25.35,11974,2.56,,,,1,0,0,14,0,100,1,439,6.9854,0:00:57
tTcK71FZejc,Just Like You to Break My Heart,"Feb 2, 2024",177,437,,26.89,17171,2.02,,,,5,0,0,6,0,100,0,437,5.7767,0:00:47
F7tnqgbRh_w,I Dont Remember How I Got Here,"Feb 17, 2024",361,416,,14.63,11545,2.34,,,,1,0,0,9,1,90,1,416,6.1028,0:00:52
Hhmcl8Pgi4M,Here I Go Again Down the Road,"Dec 24, 2023",121,413,,29.88,15168,2.22,,,,0,0,0,7,1,87.5,0,413,4.1478,0:00:36
bpNaHTbbiUY,suit made of glass - lidro larâgos,"Oct 1, 2025",9,381,0,121.79,694,2.31,,,,5,0,0,8,2,80,6,1528,1.5673,0:00:10
lB7_jexyaWc,Lets Get the Hell out of Here,"Mar 17, 2024",187,371,,24.05,22852,1.22,,,,2,0,0,14,3,82.35,3,371,4.6349,0:00:44
 -iTBX-c3ATo,I Wish You Were Here (Its Not That One or That One),"May 10, 2024",180,363,,31.84,19854,1.25,,,,0,0,0,12,1,92.31,3,363,5.7794,0:00:57
1So7lggO7og,potion of flow - lidro larâgos,"Sep 29, 2025",16,338,1,101.18,910,1.87,,,,5,1,0,5,0,100,5,567,1.5642,0:00:16
I5gwUFiWx7Y,short burst of artificial sunshine - karma for the kats,"Oct 9, 2025",16,337,0,72.27,258,2.33,,,,7,0,0,1,2,33.33,1,606,1.1952,0:00:11
mO02dTtkUm0,Fell in Love at the Movies Again 2,"Oct 7, 2024",177,309,,44.8,12741,1.44,,,,3,0,0,2,0,100,0,309,6.8064,0:01:19
ICq7xzJ1yJ0,So What If I Was Wrong,"Feb 26, 2024",147,276,,30.12,13132,1.45,,,,0,0,0,5,1,83.33,1,276,3.395,0:00:44
Hy9-oPoNRuk,Fell in Love at the Movies Again,"Oct 14, 2024",116,265,,62.89,11838,0.95,,,,0,0,0,4,1,80,0,265,5.3704,0:01:12
WaLvq6e2Nxg,the sound of something ending before it even began...,"Nov 12, 2025",19,261,0,70.11,39,30.77,,,,0,0,0,5,1,83.33,0,1185,1.3255,0:00:13
VUQQSwdQGxk,They Dont Call Me the Breeze,"Sep 2, 2024",139,258,,35,7298,2.18,,,,1,0,0,5,0,100,0,258,3.4864,0:00:48
qRPuOQn44hM,Dumb Instrumental 3,"Feb 5, 2024",497,245,,20.18,8932,2.15,,,,1,0,0,8,1,88.89,5,245,6.824,0:01:40
EWP0oDpS5jU,Immaculate Blue,"Mar 1, 2024",230,243,,25.07,12737,1.42,,,,1,0,0,4,1,80,0,243,3.8921,0:00:57
p291Uw04kZo,Another Forgotten Memory,"Feb 26, 2024",140,241,,36.38,24410,0.7,,,,2,0,0,10,0,100,2,241,3.4092,0:00:50
